code,name,year,month,temp_min
GTM.10364832,San Marcos,1950,02,37.53
GTM.10364833,Huehuetenango,1950,02,49.56
GTM.10364834,Quiché,1950,02,79.86
GTM.10364835,Baja Verapaz,1950,02,44.06
GTM.10364836,Alta Verapaz,1950,02,109.09
GTM.10364837,Petén,1950,02,51.07
GTM.10364838,Izabal,1950,02,141.71
GTM.10364839,Zacapa,1950,02,52.22
GTM.10364840,Chiquimula,1950,02,23.09
GTM.10364841,Jalapa,1950,02,4.25
GTM.10364842,Jutiapa,1950,02,2.52
HND.1111420,Atlantida,1950,02,61.09
HND.1111421,Choluteca,1950,02,0.29
HND.1111422,Colon,1950,02,56.85
HND.1111423,Comayagua,1950,02,31.14
HND.1111424,Copan,1950,02,85.79
HND.1111425,Cortes,1950,02,83.68
HND.1111426,Francisco Morazan,1950,02,6.12
HND.1111427,Gracias A Dios,1950,02,55.17
HND.1111428,Intibuca,1950,02,11.09
HND.1111429,Islas De Bahia,1950,02,58.5
HND.1111430,La Paz,1950,02,3.51
HND.1111431,Lempira,1950,02,15.54
HND.1111432,Name Unknown,1950,02,25.35
HND.1111433,Ocotepeque,1950,02,17.84
HND.1111434,Olancho,1950,02,21.0
HND.1111435,Paraiso,1950,02,5.15
HND.1111436,Santa Barbara,1950,02,78.31
HND.1111437,Valle,1950,02,0.28
HND.1111438,Yoro,1950,02,38.14
NIC.1801,Boaco,1950,02,15.67
NIC.18010,Managua,1950,02,0.8
NIC.18011,Masaya,1950,02,1.38
NIC.18012,Matagalpa,1950,02,14.15
NIC.18013,Nueva Segovia,1950,02,10.79
NIC.18014,Región Autónoma del Caribe Norte,1950,02,46.25
NIC.18015,Región Autónoma del Caribe Sur,1950,02,68.18
NIC.18016,Río San Juan,1950,02,98.99
NIC.18017,Rivas,1950,02,15.87
NIC.1802,Carazo,1950,02,0.92
NIC.1803,Chinandega,1950,02,0.86
NIC.1804,Chontales,1950,02,17.41
NIC.1805,Estelí,1950,02,1.22
NIC.1806,Granada,1950,02,1.8
NIC.1807,Jinotega,1950,02,29.27
NIC.1808,León,1950,02,0.27
NIC.1809,Madriz,1950,02,2.76
PAN.1911,Bocas del Toro,1950,02,265.36
PAN.19110,Ngäbe Buglé,1950,02,230.87
PAN.19111,Panamá,1950,02,97.04
PAN.19112,Panamá Oeste,1950,02,92.69
