code,name,year,month,temp_max,temp_min
CRI.61981,Alajuela,1950,02,25.87,19.21
CRI.61982,Cartago,1950,02,20.75,12.97
CRI.61983,Guanacaste,1950,02,30.05,21.79
CRI.61984,Heredia,1950,02,24.83,18.37
CRI.61985,Limon,1950,02,23.93,17.63
CRI.61986,Puntarenas,1950,02,26.22,20.03
CRI.61987,San Jose,1950,02,23.5,16.49
GTM.10364821,Guatemala,1950,02,24.21,12.07
GTM.10364822,El Progreso,1950,02,23.41,12.48
GTM.10364823,Sacatepéquez,1950,02,23.7,11.8
GTM.10364824,Chimaltenango,1950,02,21.89,11.37
GTM.10364825,Escuintla,1950,02,28.08,19.31
GTM.10364826,Santa Rosa,1950,02,27.46,16.68
GTM.10364827,Sololá,1950,02,20.39,11.84
GTM.10364828,Totonicapán,1950,02,18.42,7.95
GTM.10364829,Quetzaltenango,1950,02,22.48,13.26
GTM.10364830,Suchitepéquez,1950,02,28.51,19.23
GTM.10364831,Retalhuleu,1950,02,29.65,21.05
GTM.10364832,San Marcos,1950,02,22.05,11.51
GTM.10364833,Huehuetenango,1950,02,20.23,9.6
GTM.10364834,Quiché,1950,02,20.75,11.83
GTM.10364835,Baja Verapaz,1950,02,21.96,12.25
GTM.10364836,Alta Verapaz,1950,02,23.35,15.69
GTM.10364837,Petén,1950,02,26.86,18.23
GTM.10364838,Izabal,1950,02,24.64,18.86
GTM.10364839,Zacapa,1950,02,23.72,15.84
GTM.10364840,Chiquimula,1950,02,23.57,14.86
GTM.10364841,Jalapa,1950,02,23.99,12.69
GTM.10364842,Jutiapa,1950,02,27.49,15.86
HND.1111420,Atlantida,1950,02,24.79,18.46
HND.1111421,Choluteca,1950,02,32.01,20.49
HND.1111422,Colon,1950,02,25.04,17.92
HND.1111423,Comayagua,1950,02,24.02,14.59
HND.1111424,Copan,1950,02,22.55,14.94
HND.1111425,Cortes,1950,02,24.91,18.1
HND.1111426,Francisco Morazan,1950,02,26.66,15.01
HND.1111427,Gracias A Dios,1950,02,26.2,20.2
HND.1111428,Intibuca,1950,02,24.47,13.96
HND.1111429,Islas De Bahia,1950,02,25.39,23.79
HND.1111430,La Paz,1950,02,26.65,15.13
HND.1111431,Lempira,1950,02,25.26,14.54
HND.1111432,Name Unknown,1950,02,25.37,24.12
HND.1111433,Ocotepeque,1950,02,23.21,13.71
HND.1111434,Olancho,1950,02,25.23,15.76
HND.1111435,Paraiso,1950,02,26.59,15.53
HND.1111436,Santa Barbara,1950,02,23.74,16.14
HND.1111437,Valle,1950,02,32.2,21.73
HND.1111438,Yoro,1950,02,24.96,15.51
NIC.1801,Boaco,1950,02,27.63,19.5
NIC.18010,Managua,1950,02,32.03,21.91
NIC.18011,Masaya,1950,02,30.38,21.11
NIC.18012,Matagalpa,1950,02,26.82,18.07
NIC.18013,Nueva Segovia,1950,02,25.61,15.75
NIC.18014,Región Autónoma del Caribe Norte,1950,02,26.72,19.91
NIC.18015,Región Autónoma del Caribe Sur,1950,02,26.84,20.81
NIC.18016,Río San Juan,1950,02,27.07,21.28
NIC.18017,Rivas,1950,02,27.05,22.98
NIC.1802,Carazo,1950,02,31.1,22.22
NIC.1803,Chinandega,1950,02,33.08,22.5
NIC.1804,Chontales,1950,02,27.49,20.48
NIC.1805,Estelí,1950,02,27.55,16.83
NIC.1806,Granada,1950,02,29.51,21.82
NIC.1807,Jinotega,1950,02,24.97,16.88
NIC.1808,León,1950,02,32.23,21.46
NIC.1809,Madriz,1950,02,27.26,16.28
PAN.1911,Bocas del Toro,1950,02,23.07,17.14
PAN.19110,Ngäbe Buglé,1950,02,25.05,19.1
PAN.19111,Panamá,1950,02,27.66,22.66
PAN.19112,Panamá Oeste,1950,02,28.02,22.54
PAN.19113,Veraguas,1950,02,29.27,21.86
PAN.1912,Chiriquí,1950,02,27.84,20.09
PAN.1913,Coclé,1950,02,27.64,21.8
PAN.1914,Colón,1950,02,26.48,22.44
PAN.1915,Darién,1950,02,27.76,21.9
PAN.1916,Emberá,1950,02,27.6,21.55
PAN.1917,Herrera,1950,02,31.4,21.61
PAN.1918,Kuna Yala,1950,02,26.72,23.05
PAN.1919,Los Santos,1950,02,30.01,22.11
SLV.751184,Ahuachapan,1950,02,28.36,19.22
